"code";"code_parent";"description";"layer_no"
"2660";"266";"Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur";4
"267";"26";"Vervaardiging van optische instrumenten en apparatuur";3
"2670";"267";"Vervaardiging van optische instrumenten en apparatuur";4
"268";"26";"Vervaardiging van informatiedragers";3
"2680";"268";"Vervaardiging van informatiedragers";4
"271";"27";"Vervaardiging van elektromotoren, elektrische generatoren en transformatoren en van schakel- en verdeelinrichtingen";3
"2711";"271";"Vervaardiging van elektromotoren,  elektrische generatoren en transformatoren";4
"2712";"271";"Vervaardiging van schakel- en verdeelinrichtingen";4
"272";"27";"Vervaardiging van batterijen en accumulatoren";3
"2720";"272";"Vervaardiging van batterijen en accumulatoren";4
"273";"27";"Vervaardiging van elektrische en elektronische kabels en van schakelaars, stekkers, stopcontacten e.d.";3
"2731";"273";"Vervaardiging van kabels van optische vezels";4
"2732";"273";"Vervaardiging van overige elektrische en elektronische kabel";4
"2733";"273";"Vervaardiging van schakelaars, stekkers, stopcontacten e.d.";4
"274";"27";"Vervaardiging van elektrische lampen en verlichtingsapparaten ";3
"2740";"274";"Vervaardiging van elektrische lampen en verlichtingsapparaten ";4
"275";"27";"Vervaardiging van huishoudapparaten";3
"2751";"275";"Vervaardiging van elektrische huishoudapparaten";4
"2752";"275";"Vervaardiging van niet-elektrische huishoudapparaten";4
"279";"27";"Vervaardiging van overige elektrische apparatuur";3
"2790";"279";"Vervaardiging van overige elektrische apparatuur";4
"281";"28";"Vervaardiging van motoren, turbines, pompen, compressoren, appendages en drijfwerkelementen";3
"2811";"281";"Vervaardiging van motoren en turbines (niet voor vliegtuigen, motorvoertuigen en bromfietsen)";4
"2812";"281";"Vervaardiging van hydraulische apparatuur";4
"2813";"281";"Vervaardiging van niet-hydraulische pompen en compressoren";4
"2814";"281";"Vervaardiging van appendages";4
"2815";"281";"Vervaardiging van tandwielen, lagers en overige drijfwerkelementen";4
"282";"28";"Vervaardiging van overige machines en apparaten voor algemeen gebruik";3
"2821";"282";"Vervaardiging van industriële ovens en branders";4
"2822";"282";"Vervaardiging van hijs-, hef- en transportwerktuigen";4
"2823";"282";"Vervaardiging van kantoormachines en -apparatuur (geen computers en randapparatuur)";4
"2824";"282";"Vervaardiging van pneumatisch en elektrisch handgereedschap ";4
"2825";"282";"Vervaardiging van machines en apparaten voor industriële  koeltechniek en  klimaatregeling";4
"2829";"282";"Vervaardiging van  overige machines en apparaten voor algemeen gebruik (rest)";4
"283";"28";"Vervaardiging van machines en werktuigen voor de land- en bosbouw";3
"2830";"283";"Vervaardiging van machines en werktuigen voor de land- en bosbouw";4
